freq_Hz,contrast
2820000000.0,4.04383e-06
2823333333.3333335,4.63056e-06
2826666666.6666665,4.43312e-06
2830000000.0,4.68644e-06
2833333333.3333335,4.42381e-06
2836666666.6666665,3.51296e-06
2840000000.0,2.96348e-06
2843333333.3333335,3.81473e-06
2846666666.6666665,3.22984e-06
2850000000.0,3.38817e-06
2853333333.3333335,4.62311e-06
2856666666.6666665,4.29343e-06
2860000000.0,4.25059e-06
2863333333.3333335,4.37352e-06
2866666666.6666665,4.1202e-06
2870000000.0,4.04756e-06
2873333333.3333335,4.45548e-06
2876666666.6666665,3.91345e-06
2880000000.0,4.03638e-06
2883333333.3333335,3.98423e-06
2886666666.6666665,3.63962e-06
2890000000.0,3.20004e-06
2893333333.3333335,2.77722e-06
2896666666.6666665,3.66011e-06
2900000000.0,4.88388e-06
2903333333.3333335,4.58772e-06
2906666666.6666665,4.77213e-06
2910000000.0,4.98819e-06
2913333333.3333335,5.22102e-06
2916666666.6666665,4.65478e-06
2920000000.0,4.63802e-06
