tau_s,R_V
200.0,7.00264e-06
400.0,7.00357e-06
600.0,7.04921e-06
800.0,6.99612e-06
1000.0,6.94118e-06
1200.0,6.88809e-06
1400.0,6.86388e-06
1600.0,6.82569e-06
1800.0,6.73815e-06
2000.0,6.72045e-06
2200.0,6.71673e-06
2400.0,6.69158e-06
2600.0,6.69996e-06
2800.0,6.72697e-06
3000.0,6.68041e-06
3200.0,6.713e-06
3400.0,6.73629e-06
3600.0,6.7605e-06
3800.0,6.73349e-06
4000.0,2.4764e-06
