tau_s,R_V
10.0,0.000101753
220.0,0.000100907
430.0,0.000100673
640.0,0.000100669
850.0,0.000101008
1060.0,9.92608e-05
1270.0,0.000101109
1480.0,0.000100483
1690.0,0.000100978
1900.0,0.000101395
2110.0,9.93949e-05
2320.0,9.88324e-05
2530.0,0.000100073
2740.0,9.91416e-05
2950.0,9.97116e-05
3160.0,9.82624e-05
3370.0,9.89777e-05
3580.0,9.98829e-05
3790.0,9.8635e-05
4000.0,9.97563e-05
10.0,0.000101392
220.0,0.000100308
430.0,9.98494e-05
640.0,9.9719e-05
850.0,9.96408e-05
1060.0,9.94918e-05
1270.0,0.000100133
1480.0,9.95924e-05
1690.0,9.88659e-05
1900.0,9.9909e-05
2110.0,9.91826e-05
2320.0,0.000100244
2530.0,9.89814e-05
2740.0,0.000100103
2950.0,9.97377e-05
3160.0,9.98606e-05
3370.0,9.92832e-05
3580.0,9.86052e-05
3790.0,9.95775e-05
4000.0,0.000100255
