freq_Hz,contrast
2865000000.0,5.23406e-06
2865333333.3333335,4.79075e-06
2865666666.6666665,4.77399e-06
2866000000.0,4.65478e-06
2866333333.3333335,5.23406e-06
2866666666.6666665,4.70321e-06
2867000000.0,4.23755e-06
2867333333.3333335,3.26151e-06
2867666666.6666665,3.16651e-06
2868000000.0,2.41773e-06
2868333333.3333335,2.36744e-06
2868666666.6666665,2.8331e-06
2869000000.0,3.76815e-06
2869333333.3333335,3.71227e-06
2869666666.6666665,3.43473e-06
2870000000.0,3.24847e-06
2870333333.3333335,4.05314e-06
2870666666.6666665,3.05103e-06
2871000000.0,3.51855e-06
2871333333.3333335,3.86874e-06
2871666666.6666665,4.17422e-06
2872000000.0,3.56884e-06
2872333333.3333335,2.90015e-06
2872666666.6666665,2.91319e-06
2873000000.0,3.51483e-06
2873333333.3333335,4.70135e-06
2873666666.6666665,4.89134e-06
2874000000.0,5.20612e-06
2874333333.3333335,5.25641e-06
2874666666.6666665,5.56748e-06
2875000000.0,5.18005e-06
2865000000.0,5.48366e-06
2865333333.3333335,4.95467e-06
2865666666.6666665,4.63988e-06
2866000000.0,5.06456e-06
2866333333.3333335,4.54116e-06
2866666666.6666665,5.04966e-06
2867000000.0,4.79075e-06
2867333333.3333335,3.42542e-06
2867666666.6666665,2.76604e-06
2868000000.0,2.30411e-06
2868333333.3333335,2.56488e-06
2868666666.6666665,2.59468e-06
2869000000.0,3.74579e-06
2869333333.3333335,3.78491e-06
2869666666.6666665,3.01936e-06
2870000000.0,2.8331e-06
2870333333.3333335,4.34558e-06
2870666666.6666665,3.47012e-06
2871000000.0,3.39934e-06
2871333333.3333335,4.08481e-06
2871666666.6666665,4.08481e-06
2872000000.0,3.66756e-06
2872333333.3333335,2.6636e-06
2872666666.6666665,3.27082e-06
2873000000.0,3.26709e-06
2873333333.3333335,3.84825e-06
2873666666.6666665,4.76281e-06
2874000000.0,5.4017e-06
2874333333.3333335,4.93418e-06
2874666666.6666665,5.49297e-06
2875000000.0,5.75188e-06
2865000000.0,5.22289e-06
2865333333.3333335,4.89879e-06
2865666666.6666665,5.04035e-06
2866000000.0,4.9081e-06
2866333333.3333335,4.63243e-06
2866666666.6666665,4.67899e-06
2867000000.0,4.62684e-06
2867333333.3333335,3.89109e-06
2867666666.6666665,2.96535e-06
2868000000.0,2.4289e-06
2868333333.3333335,2.54253e-06
2868666666.6666665,2.98397e-06
2869000000.0,3.35091e-06
2869333333.3333335,3.57816e-06
2869666666.6666665,3.02868e-06
2870000000.0,3.15161e-06
2870333333.3333335,4.08108e-06
2870666666.6666665,2.95044e-06
2871000000.0,3.46826e-06
2871333333.3333335,4.12393e-06
2871666666.6666665,3.88923e-06
2872000000.0,3.52973e-06
2872333333.3333335,2.71016e-06
2872666666.6666665,2.848e-06
2873000000.0,3.27641e-06
2873333333.3333335,4.42567e-06
2873666666.6666665,4.81869e-06
2874000000.0,5.39611e-06
2874333333.3333335,5.25641e-06
2874666666.6666665,4.95094e-06
2875000000.0,5.74256e-06
