freq_Hz,R_V
2862000000.0,5.62522e-07
2862200000.0,5.52278e-07
2862400000.0,5.72301e-07
2862600000.0,6.85457e-07
2862800000.0,8.89882e-07
2863000000.0,8.20499e-07
2863200000.0,8.53561e-07
2863400000.0,1.0999e-06
2863600000.0,1.1162e-06
2863800000.0,1.19536e-06
2864000000.0,1.24751e-06
2864200000.0,1.33925e-06
2864400000.0,1.32155e-06
2864600000.0,1.62842e-06
2864800000.0,1.6098e-06
2865000000.0,1.54414e-06
2865200000.0,1.65404e-06
2865400000.0,1.69315e-06
2865600000.0,2.2012e-06
2865800000.0,2.49689e-06
2866000000.0,2.32227e-06
2866200000.0,2.84381e-06
2866400000.0,2.73251e-06
2866600000.0,3.37559e-06
2866800000.0,3.79003e-06
2867000000.0,4.40053e-06
2867200000.0,5.62335e-06
2867400000.0,6.76748e-06
2867600000.0,7.30672e-06
2867800000.0,8.42434e-06
2868000000.0,9.1652e-06
2868200000.0,9.74495e-06
2868400000.0,1.00416e-05
2868600000.0,9.72539e-06
2868800000.0,9.44181e-06
2869000000.0,8.69349e-06
2869200000.0,8.94495e-06
2869400000.0,8.81782e-06
2869600000.0,8.38382e-06
2869800000.0,8.63808e-06
2870000000.0,9.06555e-06
2870200000.0,8.54029e-06
2870400000.0,7.40451e-06
2870600000.0,7.547e-06
2870800000.0,8.21572e-06
2871000000.0,8.85414e-06
2871200000.0,8.67626e-06
2871400000.0,8.71584e-06
2871600000.0,9.08744e-06
2871800000.0,8.64413e-06
2872000000.0,8.98546e-06
2872200000.0,9.3524e-06
2872400000.0,9.50653e-06
2872600000.0,9.73657e-06
2872800000.0,9.36218e-06
2873000000.0,8.84576e-06
2873200000.0,7.94517e-06
2873400000.0,7.24851e-06
2873600000.0,6.07598e-06
2873800000.0,5.23872e-06
2874000000.0,4.01869e-06
2874200000.0,3.49713e-06
2874400000.0,3.35184e-06
2874600000.0,2.60679e-06
2874800000.0,2.48711e-06
2875000000.0,2.21097e-06
2875200000.0,1.98932e-06
2875400000.0,2.1239e-06
2875600000.0,1.5162e-06
2875800000.0,1.81283e-06
2876000000.0,1.31224e-06
2876200000.0,1.62191e-06
2876400000.0,1.1772e-06
2876600000.0,1.24193e-06
2876800000.0,1.31084e-06
2877000000.0,1.19583e-06
2877200000.0,1.09478e-06
2877400000.0,1.22889e-06
2877600000.0,1.24751e-06
2877800000.0,1.15392e-06
2878000000.0,7.25504e-07
2878200000.0,1.05007e-06
2878400000.0,8.72187e-07
2878600000.0,6.53326e-07
2878800000.0,6.25387e-07
2879000000.0,8.14445e-07
2879200000.0,5.49018e-07
2879400000.0,6.14211e-07
2879600000.0,7.77658e-07
2879800000.0,7.09206e-07
2880000000.0,7.65551e-07
