tau_s,R_V
10.0,5.03513e-05
220.0,5.01091e-05
430.0,4.95652e-05
640.0,5.01799e-05
850.0,4.89543e-05
1060.0,4.89654e-05
1270.0,5.0165e-05
1480.0,5.03662e-05
1690.0,4.87494e-05
1900.0,5.00793e-05
2110.0,4.87047e-05
2320.0,4.92411e-05
2530.0,4.94125e-05
2740.0,4.92411e-05
2950.0,4.96993e-05
3160.0,4.96062e-05
3370.0,5.00793e-05
3580.0,5.03662e-05
3790.0,4.91666e-05
4000.0,4.94013e-05
10.0,5.07275e-05
220.0,4.90251e-05
430.0,5.05301e-05
640.0,5.01911e-05
850.0,4.97887e-05
1060.0,4.95503e-05
1270.0,4.91107e-05
1480.0,4.92709e-05
1690.0,5.01948e-05
1900.0,4.94237e-05
2110.0,4.88686e-05
2320.0,4.89915e-05
2530.0,4.95913e-05
2740.0,4.98558e-05
2950.0,4.92337e-05
3160.0,4.9379e-05
3370.0,4.99787e-05
3580.0,5.05897e-05
3790.0,4.97962e-05
4000.0,5.0206e-05
