freq_Hz,contrast
2820000000.0,5.31788e-06
2823333333.3333335,5.03476e-06
2826666666.6666665,4.84477e-06
2830000000.0,5.17818e-06
2833333333.3333335,4.35489e-06
2836666666.6666665,3.78305e-06
2840000000.0,2.45312e-06
2843333333.3333335,3.06593e-06
2846666666.6666665,4.31578e-06
2850000000.0,4.47969e-06
2853333333.3333335,4.54302e-06
2856666666.6666665,4.50577e-06
2860000000.0,4.35676e-06
2863333333.3333335,4.15745e-06
2866666666.6666665,4.48528e-06
2870000000.0,4.34931e-06
2873333333.3333335,3.89482e-06
2876666666.6666665,3.91345e-06
2880000000.0,4.17049e-06
2883333333.3333335,3.83149e-06
2886666666.6666665,3.66756e-06
2890000000.0,3.52228e-06
2893333333.3333335,3.80912e-06
2896666666.6666665,3.76256e-06
2900000000.0,2.65615e-06
2903333333.3333335,2.74555e-06
2906666666.6666665,4.42381e-06
2910000000.0,4.30833e-06
2913333333.3333335,4.61194e-06
2916666666.6666665,4.56537e-06
2920000000.0,4.25431e-06
