freq_Hz,contrast
3000000000.0,3.28945e-06
2993333333.3333335,4.41636e-06
2986666666.6666665,4.41264e-06
2980000000.0,3.80912e-06
2973333333.3333335,2.89829e-06
2966666666.6666665,3.62472e-06
2960000000.0,5.59542e-06
2953333333.3333335,4.43685e-06
2946666666.6666665,4.83173e-06
2940000000.0,4.45175e-06
2933333333.3333335,5.22102e-06
2926666666.6666665,4.52812e-06
2920000000.0,3.87061e-06
2913333333.3333335,4.65664e-06
2906666666.6666665,5.09809e-06
2900000000.0,4.93976e-06
2893333333.3333335,4.68272e-06
2886666666.6666665,4.18726e-06
2880000000.0,4.7684e-06
2873333333.3333335,4.69576e-06
2866666666.6666665,5.17818e-06
2860000000.0,5.01427e-06
2853333333.3333335,5.41288e-06
2846666666.6666665,4.85222e-06
2840000000.0,4.40146e-06
2833333333.3333335,4.85222e-06
2826666666.6666665,4.28411e-06
2820000000.0,5.6662e-06
2813333333.3333335,5.70904e-06
2806666666.6666665,6.45037e-06
2800000000.0,6.88809e-06
3000000000.0,3.79981e-06
2993333333.3333335,4.87085e-06
2986666666.6666665,4.32323e-06
2980000000.0,3.62472e-06
2973333333.3333335,3.43846e-06
2966666666.6666665,3.99727e-06
2960000000.0,5.88226e-06
2953333333.3333335,4.81869e-06
2946666666.6666665,4.70135e-06
2940000000.0,5.00309e-06
2933333333.3333335,5.36817e-06
2926666666.6666665,4.88388e-06
2920000000.0,4.34744e-06
2913333333.3333335,4.40705e-06
2906666666.6666665,5.41288e-06
2900000000.0,4.94908e-06
2893333333.3333335,5.018e-06
2886666666.6666665,4.62498e-06
2880000000.0,4.79262e-06
2873333333.3333335,4.91369e-06
2866666666.6666665,4.96212e-06
2860000000.0,4.67713e-06
2853333333.3333335,5.01427e-06
2846666666.6666665,4.66968e-06
2840000000.0,4.31392e-06
2833333333.3333335,4.95839e-06
2826666666.6666665,4.47969e-06
2820000000.0,5.20798e-06
2813333333.3333335,5.08505e-06
2806666666.6666665,6.52674e-06
